message_length,word_count,digit_count,uppercase_count,special_char_count,exclamation_count,question_count,url_count,currency_count,spam
86,13,0,8,4,0,0,0,0,0
39,9,0,1,3,1,0,0,0,0
73,14,0,2,4,0,0,0,0,0
26,6,0,1,0,0,0,0,0,0
23,2,0,1,7,0,0,0,0,0
24,5,0,3,6,0,0,0,0,0
31,6,0,2,2,1,1,0,0,0
58,9,0,1,1,0,0,0,0,0
48,9,0,2,3,0,0,0,0,0
41,7,0,1,3,0,1,0,0,0
32,8,1,1,0,0,0,0,0,0
159,35,0,4,5,0,0,0,0,0
25,6,0,2,2,0,0,0,0,0
161,30,0,1,5,0,0,0,0,0
22,4,0,2,2,0,0,0,0,0
119,26,0,4,6,0,0,0,0,0
143,21,31,21,12,2,0,1,1,1
69,13,0,2,2,0,0,0,0,0
137,30,2,15,6,0,2,0,0,1
30,5,0,1,1,0,0,0,0,0
165,27,0,8,12,0,0,0,0,0
34,8,0,1,0,0,0,0,0,0
109,20,0,2,7,0,0,0,0,0
37,8,0,1,0,0,0,0,0,0
33,6,0,2,2,0,0,0,0,0
48,8,0,1,4,0,0,0,0,0
157,34,7,17,8,0,0,0,0,1
50,9,0,2,6,0,0,0,0,0
65,15,0,1,0,0,0,0,0,0
38,7,0,1,2,0,2,0,0,0
145,27,0,20,14,1,0,0,0,0
145,25,24,5,3,0,0,0,0,1
51,10,0,1,1,0,0,0,0,0
45,7,0,38,0,0,0,0,0,0
83,16,0,3,5,0,0,0,0,0
155,32,1,2,9,0,0,0,0,0
37,6,0,1,2,0,1,0,0,0
78,17,0,3,3,0,0,0,0,0
30,8,0,1,0,0,0,0,0,0
31,6,1,1,1,0,0,0,0,0
146,30,0,4,5,0,0,0,0,0
150,23,22,12,3,0,0,1,0,1
44,8,1,2,0,0,0,0,0,0
179,34,0,3,11,1,0,0,0,0
27,5,0,1,2,0,2,0,0,0
179,37,2,2,3,0,0,0,0,0
38,7,0,1,3,0,0,0,0,0
97,18,0,2,2,0,0,0,0,0
43,10,0,2,3,0,0,0,0,0
36,9,0,2,4,0,1,0,0,0
154,27,14,21,4,0,4,0,0,1
74,15,0,6,7,4,1,0,0,0
3,1,0,1,0,0,0,0,0,0
85,18,0,3,4,0,0,0,0,0
51,11,10,28,3,1,0,0,0,0
121,25,13,2,0,0,0,0,0,1
26,6,0,2,1,0,0,0,0,0
35,7,0,2,1,0,0,0,0,0
47,11,0,1,1,0,0,0,0,0
159,27,19,20,7,3,1,0,0,1
47,9,0,3,3,0,1,0,0,0
133,24,0,6,3,1,0,0,0,1
53,9,0,1,2,0,0,0,0,0
147,29,0,2,3,0,0,0,0,0
155,25,12,26,7,1,0,1,0,1
37,9,1,2,1,0,0,0,0,0
31,6,0,2,2,0,0,0,0,0
8,1,0,1,3,0,0,0,0,0
38,9,0,1,0,0,0,0,0,0
30,7,0,2,2,0,0,0,0,0
47,11,0,2,2,0,1,0,0,0
56,10,0,3,3,0,3,0,0,0
22,5,0,1,1,0,1,0,0,0
141,25,0,3,12,0,0,0,0,0
29,7,0,2,1,0,0,0,0,0
7,1,0,1,3,0,0,0,0,0
121,25,0,3,3,0,0,0,0,0
58,13,0,2,1,0,0,0,0,0
4,1,0,1,2,0,0,0,0,0
148,35,1,0,1,0,1,0,0,0
160,33,0,10,14,0,0,0,0,0
152,21,0,1,7,0,0,0,0,0
37,8,0,1,1,0,1,0,0,0
55,13,0,2,2,0,1,0,0,0
21,5,1,1,2,0,0,0,0,0
22,5,0,1,0,0,0,0,0,0
50,7,0,2,2,0,0,0,0,0
159,29,13,22,8,0,0,0,0,1
67,12,0,10,1,0,0,0,0,0
153,35,0,34,11,0,0,0,0,0
51,11,0,2,1,0,0,0,0,0
67,12,0,2,3,0,1,0,0,0
88,17,0,3,2,0,0,0,0,0
157,31,0,3,5,0,1,0,0,0
90,21,0,2,2,1,1,0,0,0
24,5,0,1,0,0,0,0,0,0
146,23,8,19,15,2,0,1,0,1
56,11,0,3,9,0,0,0,0,0
26,7,0,1,1,0,1,0,0,0
71,14,0,2,3,0,0,0,0,0
138,24,5,10,6,0,0,0,0,1
55,10,0,2,2,0,1,0,0,0
156,24,3,26,3,0,1,0,0,0
134,25,18,22,11,1,1,0,1,1
119,24,0,1,3,0,0,0,0,0
142,33,2,7,6,0,0,0,0,0
41,10,0,2,2,0,0,0,0,0
26,3,0,1,4,0,0,0,0,0
119,24,1,4,14,0,0,0,0,0
46,9,0,1,4,0,0,0,0,0
157,27,13,13,4,2,1,0,0,1
23,4,0,1,4,0,0,0,0,0
51,10,0,2,3,0,0,0,0,0
61,13,0,3,6,0,0,0,0,0
107,28,4,1,2,0,0,0,0,0
157,31,0,7,6,1,0,0,0,0
30,6,0,2,2,0,1,0,0,0
32,3,0,1,4,0,0,0,0,0
31,6,0,1,3,0,1,0,0,0
79,16,0,1,4,0,0,0,0,0
32,6,0,1,2,0,0,0,0,0
86,20,0,3,3,0,0,0,0,0
22,3,0,1,5,0,0,0,0,0
76,14,0,2,4,0,1,0,0,0
128,24,12,5,4,2,0,0,0,1
232,43,0,4,4,0,0,0,0,0
159,27,23,10,8,2,0,0,1,1
45,10,0,3,4,1,1,0,0,0
57,11,0,2,2,0,1,0,0,0
26,3,0,1,2,0,0,0,0,0
22,4,0,2,2,0,0,0,0,0
41,8,0,2,4,0,1,0,0,0
28,6,0,1,2,0,0,0,0,0
151,31,4,5,4,2,0,0,0,0
29,5,0,1,1,0,1,0,0,0
34,7,0,1,1,0,0,0,0,0
52,9,0,1,1,0,0,0,0,0
33,3,0,1,7,0,0,0,0,0
85,20,0,4,4,0,0,0,0,0
31,5,0,1,1,0,0,0,0,0
111,20,8,15,8,0,2,0,0,1
78,15,0,4,2,0,0,0,0,0
50,10,0,2,3,0,0,0,0,0
63,15,0,2,2,0,0,0,0,0
148,30,0,28,7,1,1,0,0,0
129,28,0,3,1,0,1,0,0,0
45,8,1,26,7,0,0,0,0,0
202,34,0,24,7,0,0,0,0,0
150,23,22,12,3,0,0,1,0,1
148,22,28,16,9,0,0,0,0,1
168,31,0,10,10,0,0,0,0,0
85,17,0,4,5,2,0,0,0,0
38,6,0,3,7,0,0,0,0,0
15,4,0,1,2,0,0,0,0,0
31,5,0,1,1,0,0,0,0,0
88,16,0,3,5,0,0,0,0,0
160,34,0,6,8,1,3,0,0,0
50,12,0,3,2,0,0,0,0,0
165,25,18,23,11,2,0,0,0,1
129,16,17,6,6,0,0,1,0,1
26,5,0,2,2,0,2,0,0,0
31,6,0,1,2,0,0,0,0,0
129,29,0,6,9,0,0,0,0,0
34,9,0,1,2,0,0,0,0,0
54,10,0,1,8,0,0,0,0,0
162,37,0,2,1,0,0,0,0,0
157,26,14,10,3,0,0,0,0,1
23,5,0,1,0,0,0,0,0,0
53,9,0,2,6,0,0,0,0,0
131,25,0,5,3,0,0,0,0,0
36,7,0,1,0,0,0,0,0,0
143,27,0,5,5,0,0,0,0,0
300,57,0,6,14,0,0,0,0,0
59,12,0,1,1,0,0,0,0,0
42,9,0,1,5,0,0,0,0,0
41,10,3,2,4,0,0,0,0,0
149,22,16,17,4,0,0,0,0,1
22,6,1,2,0,0,0,0,0,0
31,6,0,1,1,0,0,0,0,0
30,7,0,1,0,0,0,0,0,0
155,26,16,9,4,1,1,0,0,1
47,9,0,2,3,0,1,0,0,0
25,5,0,2,4,0,1,0,0,0
79,16,0,2,2,0,2,0,0,0
22,5,0,1,1,0,0,0,0,0
115,28,0,3,2,0,0,0,0,0
56,11,3,2,3,0,2,0,0,0
102,16,0,2,3,0,0,0,0,0
118,26,1,4,4,0,0,0,0,0
221,43,0,4,6,0,0,0,0,0
204,30,0,19,11,0,0,0,0,0
114,16,0,1,11,0,0,0,0,0
158,32,28,23,5,1,1,0,2,1
39,9,0,2,1,0,0,0,0,0
36,7,0,1,1,0,0,0,0,0
48,9,0,1,1,0,0,0,0,0
77,13,0,1,6,0,0,0,0,0
60,14,0,2,1,0,0,0,0,0
168,32,0,4,6,1,1,0,0,0
51,9,0,3,3,1,2,0,0,0
22,3,0,1,0,0,0,0,0,0
152,21,0,10,9,0,0,0,0,0
75,17,0,1,0,0,0,0,0,0
30,8,0,1,0,0,0,0,0,0
94,20,0,3,12,0,0,0,0,0
24,5,0,3,1,0,0,0,0,0
49,6,19,0,1,0,0,0,0,1
35,7,0,2,1,0,0,0,0,0
29,7,0,1,0,0,0,0,0,0
107,18,10,13,6,0,0,1,1,1
66,14,0,2,3,0,0,0,0,0
159,32,31,40,3,1,0,0,0,1
48,8,0,1,4,0,0,0,0,0
162,27,19,4,2,1,0,0,0,1
24,5,0,1,3,0,0,0,0,0
137,22,21,22,5,1,0,0,1,1
248,33,9,4,30,0,1,0,0,0
25,6,0,3,3,0,0,0,0,0
27,4,0,0,4,0,0,0,0,0
37,7,0,1,1,0,1,0,0,0
69,16,1,2,4,0,0,0,0,0
150,27,0,5,17,0,0,0,0,0
24,5,0,1,1,0,0,0,0,0
80,15,0,1,0,0,0,0,0,0
157,26,33,15,2,1,0,0,0,1
25,4,0,1,1,0,1,0,0,0
73,11,0,2,9,0,1,0,0,0
89,15,0,2,17,0,1,0,0,0
58,12,0,2,2,0,0,0,0,0
36,6,0,1,0,0,0,0,0,0
76,15,2,2,3,0,0,0,0,0
47,11,0,2,2,0,0,0,0,0
104,16,0,1,8,0,0,0,0,0
38,8,0,3,4,0,0,0,0,0
69,17,0,3,9,0,0,0,0,0
22,4,0,2,2,0,0,0,0,0
119,17,0,99,4,1,2,0,0,0
94,19,0,3,6,0,1,0,0,0
69,12,0,1,6,0,0,0,0,0
73,14,0,1,3,0,0,0,0,0
42,9,0,4,4,0,1,0,0,0
17,4,2,0,3,0,0,0,0,0
13,2,0,0,1,1,0,0,0,0
45,10,0,1,0,0,0,0,0,0
57,9,0,1,6,0,2,0,0,0
105,21,0,2,2,0,0,0,0,0
164,28,19,9,11,0,1,0,2,1
47,10,0,2,2,0,0,0,0,0
117,25,0,88,5,0,0,0,0,0
158,28,0,2,3,0,0,0,0,0
79,17,3,2,6,0,0,0,0,0
142,22,0,1,3,0,0,0,0,0
62,15,0,2,1,0,1,0,0,0
71,13,0,4,2,0,0,0,0,0
175,29,13,24,8,0,0,0,0,1
29,6,0,2,2,0,0,0,0,0
29,8,0,1,0,0,0,0,0,0
148,26,0,4,11,1,1,0,0,0
83,16,0,1,2,0,1,0,0,0
37,8,0,1,1,0,1,0,0,0
44,11,2,2,4,0,0,0,0,0
45,8,0,2,2,0,0,0,0,0
161,27,24,19,5,1,0,0,0,1
50,9,0,1,2,0,1,0,0,0
298,50,1,4,18,0,0,0,0,0
159,27,13,14,7,0,2,0,0,1
125,26,2,6,10,0,0,0,0,0
51,11,0,2,1,0,0,0,0,0
28,5,0,1,4,0,0,0,0,0
34,4,0,1,3,0,3,0,0,0
46,10,1,2,3,0,1,0,0,0
81,15,0,2,2,0,1,0,0,0
28,7,0,1,1,0,0,0,0,0
90,17,0,1,3,0,1,0,0,0
18,3,0,1,3,0,0,0,0,0
54,11,0,2,4,1,0,0,0,0
55,9,0,1,0,0,0,0,0,0
45,11,1,1,1,0,0,0,0,0
146,23,14,23,4,0,0,1,0,1
40,7,0,2,1,0,0,0,0,0
107,22,2,3,4,0,0,0,0,0
50,11,0,1,2,0,1,0,0,0
120,26,0,3,2,0,0,0,0,0
160,27,24,12,12,4,0,0,0,1
32,5,0,2,2,0,0,0,0,0
34,5,0,1,6,0,1,0,0,0
32,7,0,1,2,0,2,0,0,0
16,3,0,2,4,0,1,0,0,0
67,14,0,3,6,0,0,0,0,0
55,11,0,2,2,0,0,0,0,0
43,7,1,1,2,0,1,0,0,0
23,5,0,1,0,0,0,0,0,0
149,35,1,1,4,0,0,0,0,0
21,5,0,2,1,0,1,0,0,0
23,3,0,1,1,0,0,0,0,0
40,8,0,2,5,0,1,0,0,0
7,1,0,5,2,1,0,0,0,1
117,26,1,3,5,0,0,0,0,0
62,11,0,1,2,0,1,0,0,0
166,32,0,6,12,0,0,0,0,0
24,3,0,1,2,0,1,0,0,0
136,26,9,11,12,0,1,0,0,0
99,23,1,0,2,0,0,0,0,0
45,5,0,1,8,0,0,0,0,0
23,5,0,1,2,0,0,0,0,0
25,4,0,1,4,0,0,0,0,0
148,25,18,25,8,2,0,0,1,1
26,4,0,1,3,0,0,0,0,0
146,32,10,32,7,0,0,0,0,1
89,13,0,3,5,0,0,1,0,1
167,35,0,3,5,0,0,0,0,0
117,20,0,2,3,0,0,0,0,0
46,9,0,1,2,0,0,0,0,0
26,6,0,1,0,0,0,0,0,0
28,6,0,1,0,0,0,0,0,0
32,6,0,1,3,0,1,0,0,0
145,24,24,23,11,3,0,0,1,1
57,13,1,2,4,0,0,0,0,0
160,28,24,16,12,4,0,0,2,1
42,9,0,2,2,1,1,0,0,0
111,20,5,7,1,0,0,0,0,1
36,6,0,1,2,0,0,0,0,0
145,19,40,17,8,1,0,0,0,1
50,6,0,2,7,0,0,0,0,0
33,3,0,1,7,0,0,0,0,0
15,3,0,1,4,0,0,0,0,0
177,38,1,5,6,0,0,0,0,0
160,34,0,4,5,1,1,0,0,0
63,12,0,1,4,0,0,0,0,0
84,17,0,1,2,0,0,0,0,0
84,15,0,15,2,0,0,0,0,0
57,12,0,1,2,0,0,0,0,0
96,10,6,6,6,0,0,1,0,1
169,27,0,8,15,0,0,0,0,0
76,17,0,3,4,0,0,0,0,0
47,11,1,1,2,0,0,0,0,0
130,26,0,3,3,0,0,0,0,0
23,4,0,1,1,0,1,0,0,0
149,32,0,3,3,0,0,0,0,0
32,7,0,1,1,0,0,0,0,0
22,3,0,1,7,0,0,0,0,0
101,22,1,7,4,0,0,0,0,0
281,56,0,5,9,0,0,0,0,0
54,9,0,2,3,0,0,0,0,0
120,21,0,2,2,0,0,0,0,0
138,30,0,4,4,0,0,0,0,0
135,28,0,2,9,0,0,0,0,0
66,10,0,3,2,0,0,0,0,0
40,6,0,1,4,0,2,0,0,0
40,8,0,1,1,0,0,0,0,0
70,14,0,5,4,1,1,0,0,0
159,32,0,5,19,0,0,0,0,0
26,5,0,1,5,0,0,0,0,0
32,7,1,1,4,0,0,0,0,0
51,12,0,3,3,0,0,0,0,0
159,27,22,22,7,1,0,0,1,1
146,34,0,6,16,0,2,0,0,0
103,22,2,3,2,0,1,0,0,0
45,9,0,5,2,0,2,0,0,0
142,31,0,3,7,0,0,0,0,0
92,19,0,3,3,3,0,0,0,0
26,6,0,20,1,0,1,0,0,0
134,28,2,3,9,0,0,0,0,0
37,8,0,1,0,0,0,0,0,0
22,5,0,1,1,0,1,0,0,0
22,4,0,1,1,0,0,0,0,0
32,7,1,1,3,0,0,0,0,0
69,12,19,2,6,1,2,0,0,1
109,23,0,2,5,0,0,0,0,0
36,10,2,1,3,0,0,0,0,0
100,19,15,1,3,0,0,0,1,1
140,28,0,2,5,0,0,0,0,0
51,9,0,3,3,0,1,0,0,0
46,10,0,1,0,0,0,0,0,0
149,29,17,1,0,0,0,0,0,1
63,14,0,1,3,0,1,0,0,0
95,17,0,7,4,0,0,0,0,0
69,16,1,1,1,0,0,0,0,0
109,23,0,4,12,0,1,0,0,0
51,9,0,1,0,0,0,0,0,0
27,6,0,1,0,0,0,0,0,0
34,8,0,1,2,0,0,0,0,0
127,19,24,11,12,0,0,1,1,1
142,24,19,14,7,1,0,0,0,1
148,21,40,17,9,1,0,0,0,1
24,5,0,1,1,0,1,0,0,0
147,28,0,5,9,3,0,0,0,0
24,6,0,2,2,1,1,0,0,0
29,7,0,1,0,0,0,0,0,0
86,13,11,11,2,1,0,0,0,1
87,17,0,4,3,0,0,0,0,0
38,8,0,1,3,0,0,0,0,0
104,16,0,7,8,0,0,0,0,0
59,13,0,2,4,0,0,0,0,0
38,8,0,1,1,0,1,0,0,0
38,8,0,2,1,0,0,0,0,0
22,4,0,1,3,0,0,0,0,0
25,6,0,12,0,0,0,0,0,0
134,17,27,79,8,3,0,0,0,1
87,18,0,1,0,0,0,0,0,0
19,4,0,1,3,0,0,0,0,0
66,14,0,2,4,0,1,0,0,0
140,30,11,14,2,1,0,0,0,1
156,33,1,4,9,0,1,0,0,0
22,4,0,1,0,0,0,0,0,0
107,25,3,79,1,0,0,0,0,0
65,13,0,1,3,0,0,0,0,0
145,27,1,3,4,0,0,0,0,0
137,28,0,4,4,0,0,0,0,0
25,4,0,1,2,0,0,0,0,0
60,12,0,3,6,0,0,0,0,0
103,19,0,3,3,0,0,0,0,0
37,7,0,1,5,0,0,0,0,0
58,11,0,2,5,0,0,0,0,0
87,16,0,71,1,0,0,0,0,0
58,13,0,0,4,0,0,0,0,0
123,22,0,1,3,0,0,0,0,0
67,14,1,2,2,0,0,0,0,0
66,15,0,1,1,0,1,0,0,0
102,23,1,2,2,0,0,0,0,0
130,25,10,19,2,0,0,0,0,1
150,25,21,5,4,0,0,0,2,1
35,8,0,2,1,0,0,0,0,0
8,2,0,1,1,1,0,0,0,0
62,13,0,2,1,0,0,0,0,0
58,11,0,2,4,0,0,0,0,0
143,22,7,11,13,0,0,1,0,1
20,5,0,1,3,0,0,0,0,0
100,19,0,3,3,1,0,0,0,0
51,10,0,4,4,0,1,0,0,0
36,8,0,1,2,0,1,0,0,0
53,11,0,2,1,0,0,0,0,0
88,15,0,3,3,0,0,0,0,0
131,27,0,2,7,3,0,0,0,0
36,8,0,1,0,0,0,0,0,0
37,8,0,1,3,0,0,0,0,0
127,25,0,4,7,1,0,0,0,0
92,16,0,2,8,0,1,0,0,0
80,17,0,3,2,0,1,0,0,0
136,20,29,17,9,1,0,0,0,1
35,8,0,2,2,0,0,0,0,0
97,17,24,12,11,1,2,0,0,1
66,11,0,3,4,1,0,0,0,0
119,23,0,6,6,1,1,0,0,0
65,14,0,2,3,1,1,0,0,0
26,6,0,1,1,0,0,0,0,0
28,6,0,1,0,0,0,0,0,0
45,7,0,1,1,0,0,0,0,0
157,37,0,5,4,0,0,0,0,0
36,9,0,1,0,0,0,0,0,0
94,18,0,2,3,0,0,0,0,0
59,9,21,0,0,0,0,0,0,1
140,29,1,4,11,0,0,0,0,0
22,4,0,1,2,0,1,0,0,0
57,10,0,3,6,0,0,0,0,0
43,7,0,3,9,0,0,0,0,0
61,13,0,2,3,1,0,0,0,0
56,8,0,1,4,0,1,0,0,0
54,12,0,1,1,0,0,0,0,0
37,5,0,8,6,0,0,0,0,0
25,5,0,2,1,1,0,0,0,0
21,5,0,1,1,0,1,0,0,0
36,9,0,2,2,1,0,0,0,0
93,17,9,17,10,3,1,0,0,1
154,32,21,30,4,1,0,0,1,1
153,30,0,12,7,0,0,0,0,0
46,10,0,2,8,0,1,0,0,0
34,8,0,1,3,0,0,0,0,0
79,15,0,3,4,1,2,0,0,0
69,14,1,3,8,0,1,0,0,0
24,5,0,2,1,0,0,0,0,0
108,22,0,5,6,0,0,0,0,0
46,9,0,2,4,1,1,0,0,0
30,7,2,2,3,0,0,0,0,0
22,6,1,1,1,0,1,0,0,0
158,35,14,15,9,0,0,0,0,1
87,20,1,3,2,0,0,0,0,0
30,6,0,1,3,0,1,0,0,0
143,29,1,38,4,0,0,0,0,0
169,30,0,2,6,0,0,0,0,0
42,9,0,2,2,0,0,0,0,0
111,15,23,6,3,0,0,0,0,1
18,4,0,1,1,0,1,0,0,0
109,24,15,4,8,0,1,0,0,0
76,15,0,3,3,0,0,0,0,0
73,16,0,2,2,0,1,0,0,0
